Date/Heure,Énergie produite (Wh),Énergie consommée (Wh),Exportée vers le réseau (Wh),Importée depuis le réseau (Wh)
09/01/2024 00:00,0,157,0,157
09/01/2024 00:15,0,142,0,142
09/01/2024 00:30,0,144,0,144
09/01/2024 00:45,0,160,0,160
09/01/2024 01:00,0,260,0,260
09/01/2024 01:15,0,251,0,251
09/01/2024 01:30,0,245,0,245
09/01/2024 01:45,0,225,0,225
09/01/2024 02:00,0,235,0,235
09/01/2024 02:15,0,221,0,221
09/01/2024 02:30,0,211,0,211
09/01/2024 02:45,0,209,0,209
09/01/2024 03:00,0,215,0,215
09/01/2024 03:15,0,222,0,222
09/01/2024 03:30,0,236,0,236
09/01/2024 03:45,0,207,0,207
09/01/2024 04:00,0,155,0,155
09/01/2024 04:15,0,111,0,111
09/01/2024 04:30,0,100,0,100
09/01/2024 04:45,0,99,0,99
09/01/2024 05:00,0,99,0,99
09/01/2024 05:15,0,96,0,96
09/01/2024 05:30,0,94,0,94
09/01/2024 05:45,0,96,0,96
09/01/2024 06:00,0,117,0,117
09/01/2024 06:15,0,127,0,127
09/01/2024 06:30,0,123,0,123
09/01/2024 06:45,0,125,0,125
09/01/2024 07:00,3,98,0,95
09/01/2024 07:15,23,97,0,74
09/01/2024 07:30,44,130,0,86
09/01/2024 07:45,53,140,0,87
09/01/2024 08:00,67,140,0,73
09/01/2024 08:15,90,141,0,51
09/01/2024 08:30,648,135,513,0
09/01/2024 08:45,741,153,588,0
09/01/2024 09:00,816,278,538,0
09/01/2024 09:15,884,175,709,0
09/01/2024 09:30,928,166,762,0
09/01/2024 09:45,969,188,781,0
09/01/2024 10:00,942,247,695,0
09/01/2024 10:15,1031,555,476,0
09/01/2024 10:30,1024,902,122,0
09/01/2024 10:45,1062,1276,0,214
09/01/2024 11:00,1108,1084,24,0
09/01/2024 11:15,1120,799,321,0
09/01/2024 11:30,1100,353,747,0
09/01/2024 11:45,1142,346,796,0
09/01/2024 12:00,1160,411,749,0
09/01/2024 12:15,1080,1110,0,30
09/01/2024 12:30,854,596,258,0
09/01/2024 12:45,727,678,49,0
09/01/2024 13:00,903,700,203,0
09/01/2024 13:15,1011,486,525,0
09/01/2024 13:30,1006,392,614,0
09/01/2024 13:45,948,410,538,0
09/01/2024 14:00,909,368,541,0
09/01/2024 14:15,854,349,505,0
09/01/2024 14:30,809,369,440,0
09/01/2024 14:45,755,442,313,0
09/01/2024 15:00,730,438,292,0
09/01/2024 15:15,666,456,210,0
09/01/2024 15:30,449,495,0,46
09/01/2024 15:45,495,502,0,7
09/01/2024 16:00,579,496,83,0
09/01/2024 16:15,284,440,0,156
09/01/2024 16:30,234,562,0,328
09/01/2024 16:45,99,683,0,584
09/01/2024 17:00,29,600,0,571
09/01/2024 17:15,35,1012,0,977
09/01/2024 17:30,50,414,0,364
09/01/2024 17:45,51,307,0,256
09/01/2024 18:00,28,285,0,257
09/01/2024 18:15,20,272,0,252
09/01/2024 18:30,31,555,0,524
09/01/2024 18:45,56,274,0,218
09/01/2024 19:00,26,262,0,236
09/01/2024 19:15,13,1036,0,1023
09/01/2024 19:30,9,1482,0,1473
09/01/2024 19:45,3,1019,0,1016
09/01/2024 20:00,0,688,0,688
09/01/2024 20:15,0,204,0,204
09/01/2024 20:30,0,236,0,236
09/01/2024 20:45,0,221,0,221
09/01/2024 21:00,0,198,0,198
09/01/2024 21:15,0,200,0,200
09/01/2024 21:30,0,212,0,212
09/01/2024 21:45,0,192,0,192
09/01/2024 22:00,0,145,0,145
09/01/2024 22:15,0,166,0,166
09/01/2024 22:30,0,162,0,162
09/01/2024 22:45,0,171,0,171
09/01/2024 23:00,0,172,0,172
09/01/2024 23:15,0,164,0,164
09/01/2024 23:30,0,168,0,168
09/01/2024 23:45,0,132,0,132
